sub_set,sub_game,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,nextpoint_victor
0,0,1,2,2,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1781.335773,1136.779506,1
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1742.291141,1175.824138,0
0,0,1,1,2,1,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1743.768705,1174.346574,1
0,0,1,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.95,1.3,1705.222252,1212.893027,1
0,0,1,1,1,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1707.442667,1210.672612,0
0,0,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1709.610076,1208.505203,1
0,0,1,1,1,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1671.726898,1246.388382,0
0,0,1,2,2,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.95,1.3,1674.90899,1243.206289,1
0,0,1,1,1,5,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.95,1.3,1637.985419,1280.12986,1
0,0,1,1,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,1.3,1642.507324,1275.607955,0
0,1,2,1,2,6,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.633333333,5.75,1646.824598,1271.290681,1
0,1,2,1,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.633333333,5.75,1610.954142,1307.161137,1
0,1,2,1,1,8,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.633333333,5.75,1616.882222,1301.233057,0
0,1,2,1,2,8,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.633333333,5.75,1622.473883,1295.641396,0
0,1,2,1,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.633333333,5.75,1587.763013,1330.352266,1
